TYPE 17 (one creature)	Type of creature	101 = frames in zlagport.def	TYPE 20 (to 4 types of creatures, use -1 in order to disable slot)	Creature ¹1	Creature ¹2	Creature ¹3	Creature ¹4	2 = frames in zlagport.def
Basilisk Pit	106 Basilisks	000	Elemental Conflux	112 Air Elemental	114 Fire Elementals	113 Earth Elementals	115 Water Elementals	000
Behemoth Crag	096 Behemoths	001	Golem Factory	32 Stone Golem	33 Iron Golem	116 Gold Golem	117 Diamond Golem	001
Pillar of Eyes	074 Beholders	002	002	-1	-1	-1	-1	
Hall of Darkness	066 Black Knights	003	003	-1	-1	-1	-1	
Dragon Vault	068 Bone Dragons	004	004	-1	-1	-1	-1	
Training Grounds	010 Cavaliers	005	005	-1	-1	-1	-1	
Centaur Stables	014 Centaurs	006	006	-1	-1	-1	-1	
Air Elemental Conflux	112 Air Elementals	007	007	-1	-1	-1	-1	
Portal of Glory	012 Angels	008	008	-1	-1	-1	-1	
Cyclops Cave	094 Cyclops	009	009	-1	-1	-1	-1	
Forsaken Palace	054 Devils	010	010	-1	-1	-1	-1	
Serpent Fly Hive	104 Serpent Flies	011	011	-1	-1	-1	-1	
Dwarf Cottage	016 Dwarves	012	012	-1	-1	-1	-1	
Earth Elemental Conflux	113 Earth Elementals	013	013	-1	-1	-1	-1	
Fire Lake	052 Efreet	014	014	-1	-1	-1	-1	
Homestead	018 Elves	015	015	-1	-1	-1	-1	
Fire Elementals Conflux	114 Fire Elementals	016	016	-1	-1	-1	-1	
Parapet	030 Stone Gargoyles	017	017	-1	-1	-1	-1	
Altar of Wishes	036 Genies	018	018	-1	-1	-1	-1	
Wolf Pen	086 Wolf Riders	019	019	-1	-1	-1	-1	
Gnoll Hut	098 Gnolls	020	020	-1	-1	-1	-1	
Goblin Barracks	084 Goblins	021	021	-1	-1	-1	-1	
Hall of Sins	044 Gogs	022	022	-1	-1	-1	-1	
Gorgon Lair	102 Gorgons	023	023	-1	-1	-1	-1	
Dragon Cliffs	026 Green Dragons	024	024	-1	-1	-1	-1	
Griffin Tower	004 Griffins	025	025	-1	-1	-1	-1	
Harpy Loft	072 Harpies	026	026	-1	-1	-1	-1	
Kennels	046 Hell Hounds	027	027	-1	-1	-1	-1	
Hydra Pond	110 Hydras	028	028	-1	-1	-1	-1	
Imp Crucible	042 Imps	029	029	-1	-1	-1	-1	
Lizard Den	100 Lizardmen	030	030	-1	-1	-1	-1	
Mage Tower	034 Mages	031	031	-1	-1	-1	-1	
Manticore Lair	080 Manticores	032	032	-1	-1	-1	-1	
Chapel of Stilled Voices	076 Medusas	033	033	-1	-1	-1	-1	
Labyrinth	078 Minotaurs	034	034	-1	-1	-1	-1	
Monastery	008 Monks	035	035	-1	-1	-1	-1	
Golden Pavilion	038 Nagas	036	036	-1	-1	-1	-1	
Demon Gate	048 Demons	037	037	-1	-1	-1	-1	
Ogre Fort	090 Ogres	038	038	-1	-1	-1	-1	
Orc Tower	088 Orcs	039	039	-1	-1	-1	-1	
Hell Hole	050 Pit Fiends	040	040	-1	-1	-1	-1	
Dragon Cave	082 Red Dragons	041	041	-1	-1	-1	-1	
Cliff Nest	092 Rocs	042	042	-1	-1	-1	-1	
Workshop	028 Gremlins	043	043	-1	-1	-1	-1	
Cloud Temple	040 Giants	044	044	-1	-1	-1	-1	
Dendroid Arches	022 Dendroid Guards	045	045	-1	-1	-1	-1	
Warren	070 Troglodytes	046	046	-1	-1	-1	-1	
Water Elemental Conflux	115 Water Elementals	047	047	-1	-1	-1	-1	
Tomb of Souls	060 Wights	048	048	-1	-1	-1	-1	
Wyvern Nest	108 Wyverns	049	049	-1	-1	-1	-1	
Enchanted Spring	020 Pegasi	050	050	-1	-1	-1	-1	
Unicorn Glade	024 Unicorns	051	051	-1	-1	-1	-1	
Mausoleum	064 Liches	052	052	-1	-1	-1	-1	
Estate	062 Vampires	053	053	-1	-1	-1	-1	
Cursed Temple	056 Skeletons	054	054	-1	-1	-1	-1	
Graveyard	058 Walking Dead	055	055	-1	-1	-1	-1	
Guardhouse	000 Pikemen	056	056	-1	-1	-1	-1	
Archers' Tower	002 Archers	057	057	-1	-1	-1	-1	
Barracks	006 Swordsmen	058	058	-1	-1	-1	-1	
Magic Lantern	118 Pixies	059	059	-1	-1	-1	-1	
Altar of Thought	120 Psychic Elementals	060	060	-1	-1	-1	-1	
Pyre	130 Firebirds	061	061	-1	-1	-1	-1	
