			School				Cost				Effect					% Chance to gain									AI value				Right Click Text				
Name	Abbreviated Name	Level	Earth	Water	Fire	Air	None	Basic	Advanced	Expert	Power 	None	Basic	Advanced	Expert	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Conflux	None	Basic	Advanced	Expert	Normal	Basic	Advanced	Expert	Attributes (reference only, do not change)

Adventure Spells																																	

Summon Boat	Summon Boat	1	 	x	 	 	8	7	6	5	0	40	60	80	100	7	7	4	2	5	2	3	5	4	10	10	10	10	"Summons an existing, friendly, unoccupied boat from anywhere in the world to your location with a certain success chance.

{None:} 40% 
Basic: 60% 
Advanced: 80%, if no boats exist, one is created 
Expert: 100%, if no boats exist, one is created"	"Summons an existing, friendly, unoccupied boat from anywhere in the world to your location with a certain success chance.

None: 40% 
{Basic:} 60% 
Advanced: 80%, if no boats exist, one is created 
Expert: 100%, if no boats exist, one is created"	"Summons an existing, friendly, unoccupied boat from anywhere in the world to your location with a certain success chance.

None: 40% 
Basic: 60% 
{Advanced:} 80%, if no boats exist, one is created 
Expert: 100%, if no boats exist, one is created"	"Summons an existing, friendly, unoccupied boat from anywhere in the world to your location with a certain success chance.

None: 40% 
Basic: 60% 
Advanced: 80%, if no boats exist, one is created 
{Expert:} 100%, if no boats exist, one is created"	 ADV_SPELL
Placeholder	Plaeholder	1			x	 	8	7	6	5	0	40	60	80	100	7	7	4	2	5	2	3	5	4	1	1	1	1	"Destroys an unoccupied boat you own.

{None:} 40% 
Basic: 60% 
Advanced: 80% 
Expert: 100% "	"Destroys an unoccupied boat you own.

None: 40% 
{Basic:} 60% 
Advanced: 80% 
Expert: 100% "	"Destroys an unoccupied boat you own.

None: 40% 
Basic: 60% 
{Advanced:} 80% 
Expert: 100% "	"Destroys an unoccupied boat you own.

None: 40% 
Basic: 60% 
Advanced: 80% 
{Expert:} 100% "	 ADV_SPELL
Visions	Visions	2	 	 	 	x	16	14	12	10	0	1	2	3	4	7	5	11	5	5	4	7	6	6	1	1	1	1	"                                                                                                                                   
Within a certain radius (minimum 3 tiles) shows an exact number of neutral creatures and whether they would join or flee. 

{None:} Power tiles
Basic: 2 * Power, + amount of enemy hero's army
Advanced: 3 * Power, + primary skills of an enemy hero
Expert: 4 * Power, + amount of enemy town's army"	"                                                                                                                                   
Within a certain radius (minimum 3 tiles) shows an exact number of neutral creatures and whether they would join or flee. 

None: Power tiles
{Basic:} 2 * Power, + amount of enemy hero's army
Advanced: 3 * Power, + primary skills of an enemy hero
Expert: 4 * Power, + amount of enemy town's army"	"                                                                                                                                   
Within a certain radius (minimum 3 tiles) shows an exact number of neutral creatures and whether they would join or flee. 

None: Power tiles
Basic: 2 * Power, + amount of enemy hero's army
{Advanced:} 3 * Power, + primary skills of an enemy hero
Expert: 4 * Power, + amount of enemy town's army"	"                                                                                                                                   
Within a certain radius (minimum 3 tiles) shows an exact number of neutral creatures and whether they would join or flee. 

None: Power tiles
Basic: 2 * Power, + amount of enemy hero's army
Advanced: 3 * Power, + primary skills of an enemy hero
{Expert:} 4 * Power, + amount of enemy town's army"	 ADV_SPELL
Elevator	Elevator	4	x	 	 	 	32	28	24	20	7	2	3	4	5	4	7	4	5	9	7	5	6	5	1	1	1	1	"Reveals the location of all resources.

{None:} -
Basic: -
Advanced: + location of all mines 
Expert: + all terrain "	"Reveals the location of all resources.

None: -
{Basic:} -
Advanced: + location of all mines 
Expert: + all terrain "	"Reveals the location of all resources.

None: -
Basic: -
{Advanced:} + location of all mines 
Expert: + all terrain "	"Reveals the location of all resources.

None: -
Basic: -
Advanced: + location of all mines 
{Expert:} + all terrain "	 ADV_SPELL
Reinforcements	Reinforcements	3	 	 	x		16	14	12	10	0	0	0	0	0	7	5	11	5	5	4	7	6	6	1	1	1	1	"                                                                                                                                   
Makes all units in hero's army look like their
most powerful unit to enemies trying to view this hero.

{None:} -
Basic: -
Advanced: hides numbers of your army 
Expert: units look like player's most powerful unit "	"                                                                                                                                   
Makes all units in hero's army look like their
most powerful unit to enemies trying to view this hero.

None: -
{Basic:} -
Advanced: hides numbers of your army 
Expert: units look like player's most powerful unit "	"                                                                                                                                   
Makes all units in hero's army look like their
most powerful unit to enemies trying to view this hero.

None: -
Basic: -
{Advanced:} hides numbers of your army 
Expert: units look like player's most powerful unit "	"                                                                                                                                   
Makes all units in hero's army look like their
most powerful unit to enemies trying to view this hero.

None: -
Basic: -
Advanced: hides numbers of your army 
{Expert:} units look like player's most powerful unit "	 ADV_SPELL
Sprint	Sprint	5	 	 	 	x	40	35	30	25	3	20	40	60	80	5	3	8	4	3	3	5	4	4	1	1	1	1	"Reveals the location of all unclaimed artifacts.

{None:} -
Basic: -
Advanced: + location of all heroes 
Expert: + location of all towns "	"Reveals the location of all unclaimed artifacts.

None: -
{Basic:} -
Advanced: + location of all heroes 
Expert: + location of all towns "	"Reveals the location of all unclaimed artifacts.

None: -
Basic: -
{Advanced:} + location of all heroes 
Expert: + location of all towns "	"Reveals the location of all unclaimed artifacts.

None: -
Basic: -
Advanced: + location of all heroes 
{Expert:} + location of all towns "	 ADV_SPELL
