Map			Zone																																																																									Connections																																																																																																										
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions																																																																																																					
Name	Minimum Size	Maximum Size	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Elemental	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Forge	Low	High	Density	Low	High	Density	Low	High	Density	Zone 1	Zone 2	Value	Wide	Border Guard	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions																																																																																																		
8XM12a	32	72	1	x				20	1	8	2	8	1		1								x	x	x	x	x	x	x	x	x	1		1												x									weak		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	1	21	3000			1	8	2	8
			2	x				20	1	8	2	8	8		1								x	x	x	x	x	x	x	x	x	1		1												x									weak		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	1	24	3000			1	8	2	8
			3	x				20	1	8	2	8	3		1								x	x	x	x	x	x	x	x	x	1		1												x									weak		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	2	23	3000			1	8	2	8
			4	x				20	1	8	2	8	4		1								x	x	x	x	x	x	x	x	x	1		1												x									weak		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	2	25	3000			1	8	2	8
			5	x				20	1	8	2	8	5		1								x	x	x	x	x	x	x	x	x	1		1												x									weak		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	3	11	3000			1	8	2	8
			6	x				20	1	8	2	8	6		1								x	x	x	x	x	x	x	x	x	1		1												x									weak		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	3	11	3000			1	8	2	8
			7	x				20	1	8	2	8	7		1								x	x	x	x	x	x	x	x	x	1		1												x									weak		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	3	14	3000			1	8	2	8
			8	x				20	1	8	2	8	2		1								x	x	x	x	x	x	x	x	x	1		1												x									weak		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	3	14	3000			1	8	2	8
			9			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	1	1	1												x									avg		x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9	3	22	3000			1	8	2	8
			10			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	1		1	1											x									avg		x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9	3	26	3000			1	8	2	8
			11			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	1		1		1										x									avg		x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9	4	11	3000			1	8	2	8
			12			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	1		1			1									x									avg		x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9	4	11	3000			1	8	2	8
			13			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	1	1	1												x									avg		x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9	4	15	3000			1	8	2	8
			14			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	1		1	1											x									avg		x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9	4	15	3000			1	8	2	8
			15			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	1		1		1										x									avg		x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9	4	22	3000			1	8	2	8
			16			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	1		1			1									x									avg		x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9	4	27	3000			1	8	2	8
			17			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	1	1	1												x									avg		x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9	5	14	3000			1	8	2	8
			18			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	1		1	1											x									avg		x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9	5	14	3000			1	8	2	8
			19			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	1		1		1										x									avg		x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9	5	18	3000			1	8	2	8
			20			x		20	1	8	2	8						1					x	x	x	x	x	x	x	x	x	1		1			1									x									avg		x	x	x	x	x	x	x	x	x	x	15000	20000	1	10000	15000	6	3000	6000	9	5	18	3000			1	8	2	8
			21			x		20	1	8	2	8																																			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	5	26	3000			1	8	2	8
			22			x		20	1	8	2	8																																			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	5	31	3000			1	8	2	8
			23			x		20	1	8	2	8																																			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	6	15	3000			1	8	2	8
			24			x		20	1	8	2	8																																			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	6	15	3000			1	8	2	8
			25			x		20	1	8	2	8																																			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	6	18	3000			1	8	2	8
			26			x		20	1	8	2	8																																			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	6	18	3000			1	8	2	8
			27			x		20	1	8	2	8																																			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	6	27	3000			1	8	2	8
			28			x		20	1	8	2	8																																			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	6	31	3000			1	8	2	8
			29			x		20	1	8	2	8																																			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	7	28	3000			1	8	2	8
			30			x		20	1	8	2	8																																			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	7	30	3000			1	8	2	8
			31			x		20	1	8	2	8																																			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	8	29	3000			1	8	2	8
			32			x		20	1	8	2	8																																			x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	9	8	32	3000			1	8	2	8
			33			x		20	1	8	2	8																					2		2	2	2	2									x	x	x	x	x	x	x	x	strong		x	x	x	x	x	x	x	x	x	x	20000	30000	1	15000	20000	6	10000	15000	9	10	23	3000			1	8	2	8
																																																																												11	22	3000			1	8	2	8
																																																																												11	33	9000			1	8	2	8
																																																																												13	25	3000			1	8	2	8
																																																																												14	26	3000			1	8	2	8
																																																																												14	33	9000			1	8	2	8
																																																																												15	27	3000			1	8	2	8
																																																																												15	33	9000			1	8	2	8
																																																																												17	29	3000			1	8	2	8
																																																																												18	31	3000			1	8	2	8
																																																																												18	33	9000			1	8	2	8
																																																																												19	30	3000			1	8	2	8
																																																																												20	32	3000			1	8	2	8
																																																																												24	26	3000			1	8	2	8
																																																																												12	24	3000			1	8	2	8
																																																																												9	21	3000			1	8	2	8
																																																																												21	22	3000			1	8	2	8
																																																																												26	28	3000			1	8	2	8
																																																																												16	28	3000			1	8	2	8
																																																																												30	31	3000			1	8	2	8
																																																																												22	23	3000			1	8	2	8
																																																																												25	27	3000			1	8	2	8
																																																																												31	32	3000			1	8	2	8
																																																																												27	29	3000			1	8	2	8
