Map			Zone																																																																									Connections																																																																																																										
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions																																																																																																					
Name	Minimum Size	Maximum Size	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Elemental	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Forge	Low	High	Density	Low	High	Density	Low	High	Density	Zone 1	Zone 2	Value	Wide	Border Guard	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions																																																																																																		
Anarchy v1.01	18	72	1	x				20	1	2	2	2	1		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	6000	8999	1	3000	6000	6	0	3000	12	1	3	45000			1	2	2	2
			2	x				20	1	2	2	2	2		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	6000	8999	1	3000	6000	6	0	3000	12	2	3	45000			1	2	2	2
			3			x		20	1	2	2	2											x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	22000	30000	3	17000	22000	6	10000	17000	9	1	4	3000			1	2	2	2
			4			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	1	6	3000			1	2	2	2
			5			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	1	5	3000			1	2	2	2
			6			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	2	9	3000			1	2	2	2
			7			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	2	7	3000			1	2	2	2
			8			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	2	8	3000			1	2	2	2
			9			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	5	10	6000			1	2	2	2
			10			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	9	10	6000			1	2	2	2
			11			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	7	11	6000			1	2	2	2
			12			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	8	12	6000			1	2	2	2
			13			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	4	12	6000			1	2	2	2
			14			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	6	11	6000			1	2	2	2
			15			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	1	13	3000			1	2	2	2
																																																																												2	15	3000			1	2	2	2
																																																																												13	14	6000			1	2	2	2
																																																																												14	15	6000			1	2	2	2
Anarchy v1.01	18	72	1	x				20	1	2	2	2	1		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	6000	8999	1	3000	6000	6	0	3000	12	1	3	3000			1	2	2	2
			2	x				20	1	2	2	2	2		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	6000	8999	1	3000	6000	6	0	3000	12	1	5	3000			1	2	2	2
			3			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	1	4	3000			1	2	2	2
			4			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	2	8	3000			1	2	2	2
			5			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	2	6	3000			1	2	2	2
			6			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	2	7	3000			1	2	2	2
			7			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	4	9	12500			1	2	2	2
			8			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	8	9	12500			1	2	2	2
			9			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	6	10	12500			1	2	2	2
			10			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	7	11	12500			1	2	2	2
			11			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	3	11	12500			1	2	2	2
			12			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	5	10	12500			1	2	2	2
			13			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	12	14	12500			1	2	2	2
			14			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	17000	20000	3	10000	17000	9	6000	8999	9	13	14	12500			1	2	2	2
																																																																												2	13	3000			1	2	2	2
																																																																												1	12	3000			1	2	2	2
																																																																												4	12	6000			1	2	2	2
																																																																												5	12	6000			1	2	2	2
																																																																												3	5	6000			1	2	2	2
																																																																												3	4	6000			1	2	2	2
																																																																												6	13	6000			1	2	2	2
																																																																												6	7	6000			1	2	2	2
																																																																												8	13	6000			1	2	2	2
																																																																												7	8	6000			1	2	2	2
																																																																												10	11	12500			1	2	2	2
																																																																												9	14	12500			1	2	2	2
																																																																												10	14	12500			1	2	2	2
																																																																												9	11	12500			1	2	2	2
Anarchy v1.01	18	72	1	x				20	1	2	2	2	1		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	6000	8999	1	3000	6000	6	0	3000	12	1	3	3000			1	2	2	2
			2	x				20	1	2	2	2	2		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	6000	8999	1	3000	6000	6	0	3000	12	1	4	3000			1	2	2	2
			3			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	2	5	3000			1	2	2	2
			4			x		20	1	2	2	2							1				x	x	x	x	x	x	x	x	x	1		1													x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	0	3000	12	2	6	3000			1	2	2	2
