Map			Zone																																																																									Connections																																																																																																										
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions																																																																																																					
Name	Minimum Size	Maximum Size	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Elemental	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Forge	Low	High	Density	Low	High	Density	Low	High	Density	Zone 1	Zone 2	Value	Wide	Border Guard	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions																																																																																																		

HyperCube	18	72	1	x				20	1	2	2	2	1		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	1	9	3000			1	2	2	2
			2			x		20	1	2	2	2	1		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	5	9	3000			1	2	2	2
			3			x		20	1	2	2	2	1		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	5	10	3000			1	2	2	2
			4			x		20	1	2	2	2	1		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	2	10	3000			1	2	2	2
			5	x				20	1	2	2	2	2		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	2	11	3000			1	2	2	2
			6			x		20	1	2	2	2	2		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	6	11	3000			1	2	2	2
			7			x		20	1	2	2	2	2		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	6	12	3000			1	2	2	2
			8			x		20	1	2	2	2	2		1								x	x	x	x	x	x	x	x	x	1		1												x									avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	1	12	3000			1	2	2	2
			9			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	4	16	3000			1	2	2	2
			10			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	8	16	3000			1	2	2	2
			11			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	8	15	3000			1	2	2	2
			12			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	3	15	3000			1	2	2	2
			13			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	3	14	3000			1	2	2	2
			14			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	7	14	3000			1	2	2	2
			15			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	7	13	3000			1	2	2	2
			16			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	4	13	3000			1	2	2	2
			17			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	1	17	3000			1	2	2	2
			18			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	7	17	3000			1	2	2	2
			19			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	2	20	3000			1	2	2	2
			20			x		20	1	2	2	2						1					x	x	x	x	x	x	x	x	x																x	x	x	x	x	x	x	x	avg		x	x	x	x	x	x	x	x	x	x	10000	15000	1	3000	6000	6	500	3000	14	8	20	3000			1	2	2	2
																																																																												6	18	3000			1	2	2	2
																																																																												3	18	3000			1	2	2	2
																																																																												5	19	3000			1	2	2	2
																																																																												4	19	3000			1	2	2	2
