Map			Zone																																																																									Connections																																																																																																										
				Type					Restrictions				Player towns					Neutral towns					Town types									Minimum mines							Mine Density							Terrain									Monsters												Treasure									Zones					Restrictions																																																																																																					
Name	Minimum Size	Maximum Size	Id	human start	computer start	Treasure	Junction	Base Size	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions	Ownership	Minimum towns	Minimum castles	Town Density	Castle Density	Minimum towns	Minimum castles	Town Density	Castle Density	Towns are of same type	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Elemental	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Wood	Mercury	Ore	Sulfur	Crystal	Gems	Gold	Match to town	Dirt	Sand	Grass	Snow	Swamp	Rough	Cave	Lava	Strength	Match to town	Neutral	Castle	Rampart	Tower	Inferno	Necropolis	Dungeon	Stronghold	Fortress	Forge	Low	High	Density	Low	High	Density	Low	High	Density	Zone 1	Zone 2	Value	Wide	Border Guard	Minimum human positions	Maximum human positions	Minimum total positions	Maximum total positions																																																																																																		
Marathon (ban fly/DD, 2 player, 31-May-03, midnight design)	16	16	1	x				30	1	2	2	2	1		1								x	x	x	x		x	x	x		1		1												x									avg		x	x	x	x	x	x	x	x	x					4000	5000	4	300	2000	7	1	3	5000			1	2	2	2																																																																																																		
			2	x				30	1	2	2	2	2		1								x	x	x	x		x	x	x		1		1												x									avg		x	x	x	x	x	x	x	x	x					4000	5000	4	300	2000	7	1	4	6000			1	2	2	2																																																																																																		
			3			x		14	1	2	2	2						1						x	x	x	x	x	x	x			1		1	1										x									strong		x	x	x	x	x	x	x	x	x	x				6000	9600	7	1000	2000	6	1	5	7000			1	2	2	2																																																																																																		
			4			x		14	1	2	2	2						1					x		x	x	x	x	x	x					1		1									x									strong		x	x	x	x	x	x	x	x	x	x	15000	22000	1	3500	8000	6	1000	2000	6	2	6	7000			1	2	2	2																																																																																																		
			5			x		14	1	2	2	2						1						x	x	x	x	x		x			1			1	1									x									strong		x	x	x	x	x	x	x	x	x	x	9000	10000	1	3500	6000	5	1000	2000	6	2	7	6000			1	2	2	2																																																																																																		
			6			x		14	1	2	2	2						1						x	x	x	x	x	x	x			1		1	1										x									strong		x	x	x	x	x	x	x	x	x	x				6000	9600	7	1000	2000	6	2	8	5000			1	2	2	2																																																																																																		
			7			x		14	1	2	2	2						1					x		x	x	x	x	x	x					1		1									x									strong		x	x	x	x	x	x	x	x	x	x	15000	22000	1	3500	8000	6	1000	2000	6	3	9	18000			1	2	2	2																																																																																																		
			8			x		14	1	2	2	2						1						x	x	x	x	x		x			1			1	1									x									strong		x	x	x	x	x	x	x	x	x	x	9000	10000	1	3500	6000	5	1000	2000	6	4	9	23000			1	2	2	2																																																																																																		
			9			x		12	1	2	2	2						1					x	x	x	x	x	x	x	x	x		1													x									strong				x				x				15000	22000	1	5000	9300	6	1000	2000	3	4	10	20000			1	2	2	2																																																																																																		
